"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Sponsors","Conference name","Conference date","Conference location","Conference code","ISSN","ISBN","CODEN","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Tang J.; Kong I.; Wang Z.","Tang, Jing (60250007400); Kong, Inhye (57719731000); Wang, Zhaonan (57210640460)","60250007400; 57719731000; 57210640460","UGuideRAG: Intent-Enhanced Retrieval-Augmented Generation with User-Generated Content for Personalized Urban Tourism","2025","33rd ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems, ACM SIGSPATIAL 2025","","","","90","102","0","10.1145/3748636.3762712","https://www.scopus.com/pages/publications/105025532121?origin=resultslist","Department of Geography, University of Zurich, Zurich, Switzerland; Division of Arts and Sciences, New York University Shanghai, Shanghai, China","Tang J., Department of Geography, University of Zurich, Zurich, Switzerland; Kong I., Department of Geography, University of Zurich, Zurich, Switzerland; Wang Z., Division of Arts and Sciences, New York University Shanghai, Shanghai, China","Citywalk, as an increasingly popular form of urban tourism, emphasizes immersive, diverse, and personalized exploration over conventional sightseeing. These features evolving tourist expectations pose new challenges for intelligent itinerary planning, particularly in capturing the rich experiential attributes of visitor attractions and aligning them with ambiguous and underspecified natural language queries. We propose UGuideRAG (User-Generated Content-Guided RAG), a modular framework that leverages user-generated content to construct a comprehensive attraction database, employs large language models for intent-enhanced retrieval and recommendation, and incorporates spatial optimization to ensure coherent itinerary planning. By bridging the gap between partially expressed user goals and the multi-dimensional nature of urban experiences, UGuideRAG enables more insightful and personalized trip recommendations. Experiments on real-world datasets demonstrate that our framework consistently surpasses existing methods in producing contextually relevant, user-centered, and spatially optimized urban tourism itineraries. Source codes are available at https://github.com/tangjsysu/UGuideRAG. © 2025 Copyright is held by the owner/author(s). Publication rights licensed to ACM.","large language models; recommender systems; travel personalization; urban tourism; user-generated content","Apple; Esri; et al.; Google; Oracle; Quantum Geometry","33rd ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems, ACM SIGSPATIAL 2025","3 November 2025 through 6 November 2025","Minneapolis","215642","","979-840072086-4","","English","ACM SIGSPATIAL Int. Conf. Adv. in Geogr. Inf. Syst., ACM SIGSPATIAL","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105025532121"
"Zhang D.; Du H.; Wang X.; Zhu M.; Pang X.; Wei D.; Wang X.","Zhang, Dongfang (58343684900); Du, Haoze (56502839100); Wang, Xiaolei (59929634200); Zhu, Mingdong (35732914100); Pang, Xiaoxiao (59745918000); Wei, Dongqing (7202909038); Wang, Xianfang (24081857500)","58343684900; 56502839100; 59929634200; 35732914100; 59745918000; 7202909038; 24081857500","CMedRAGBot: A Chinese Medical Chatbot Based on Graph RAG and Large Language Models","2025","Interdisciplinary Sciences - Computational Life Sciences","17","4","","844","859","8","10.1007/s12539-025-00715-5","https://www.scopus.com/pages/publications/105007309393?origin=resultslist","School of Computer Science and Technology, Henan Institute of Technology, Xinxiang, 453003, China; Department of Computer Science, North Carolina State University, Raleigh, 27695, United States; State Key Laboratory of Microbial Metabolism, Joint International Research Laboratory of Metabolic & Developmental Sciences, School of Life Sciences and Biotechnology, Shanghai Jiao Tong University, Shanghai, 200030, China; Zhongjing Research and Industrialization Institute of Chinese Medicine, Zhongguancun Scientific Park, Nanyang, 473006, China; School of Intelligent Medical Engineering, North Henan Medical University, Xinxiang, 453514, China; Manufacturing IoT Big Data Engineering Technology Research Center of Henan Province, Xinxiang, 453003, China; Qihe Laboratory, Hebi, 458030, China","Zhang D., School of Computer Science and Technology, Henan Institute of Technology, Xinxiang, 453003, China; Du H., Department of Computer Science, North Carolina State University, Raleigh, 27695, United States; Wang X., School of Computer Science and Technology, Henan Institute of Technology, Xinxiang, 453003, China; Zhu M., School of Computer Science and Technology, Henan Institute of Technology, Xinxiang, 453003, China; Pang X., School of Computer Science and Technology, Henan Institute of Technology, Xinxiang, 453003, China; Wei D., State Key Laboratory of Microbial Metabolism, Joint International Research Laboratory of Metabolic & Developmental Sciences, School of Life Sciences and Biotechnology, Shanghai Jiao Tong University, Shanghai, 200030, China, Zhongjing Research and Industrialization Institute of Chinese Medicine, Zhongguancun Scientific Park, Nanyang, 473006, China, Qihe Laboratory, Hebi, 458030, China; Wang X., School of Computer Science and Technology, Henan Institute of Technology, Xinxiang, 453003, China, School of Intelligent Medical Engineering, North Henan Medical University, Xinxiang, 453514, China, Manufacturing IoT Big Data Engineering Technology Research Center of Henan Province, Xinxiang, 453003, China","In the domain of Chinese clinical medical question-answering (QA), traditional Large Language Models (LLMs) encounter challenges such as hallucinations and difficulties in updating knowledge for knowledge-intensive tasks. To address these issues, this research presents a Chinese clinical medical QA model that integrates Retrieval-Augmented Generation (RAG) and a medical knowledge graph, named CMedRAGBot. First, a Chinese medical knowledge graph encompassing multiple entity types—including diseases, medications, and symptoms—is constructed. Based on this knowledge graph, a Named Entity Recognition (NER) model built on a Chinese-RoBERTa and BiGRU architecture is designed, with data augmentation strategies employed to enhance its generalization capability. In addition, prompt engineering techniques are used to implement intent recognition for user queries, mapping them to predefined intent categories. Finally, the aforementioned modules are integrated to form a complete Chinese clinical medical QA system. In the experimental evaluation, CMedRAGBot is deployed on five state-of-the-art LLMs (including ChatGPT-4o, ChatGPT-o1, DeepSeek-R1, Llama-3.3-70B-Instruct, and Gemini 2.0 Flash) and tested using specialized question banks derived from the Chinese Clinical Medical Qualification Examinations and Residency Standardization Training Examinations from 2000 to 2023. The results indicate that the integration of CMedRAGBot significantly improves the test accuracy of all models, with increases of up to approximately 10%. Furthermore, ablation experiments reveal that data augmentation enhances NER model’s F1 score from 95.27% to 97.55%, while the inclusion of an intent recognition module markedly improves the model’s ability to understand complex queries, thereby further boosting answer accuracy. Source code of the research is available at https://github.com/zhdongfang/CMedRAGBot. © International Association of Scientists in the Interdisciplinary Areas 2025.","Chinese medical chatbot; Knowledge graph; Large language model; Named entity recognition; Retrieval-augmented generation","","","","","","19132751","","","English","Interdiscip. Sci. Comput. Life Sci.","Article","Final","","Scopus","2-s2.0-105007309393"
"Qian H.; Liu Z.; Zhang P.; Mao K.; Lian D.; Dou Z.; Huang T.","Qian, Hongjin (57224076386); Liu, Zheng (57211759701); Zhang, Peitian (57313719200); Mao, Kelong (57218713498); Lian, Defu (54403324000); Dou, Zhicheng (24722777200); Huang, Tiejun (8914299500)","57224076386; 57211759701; 57313719200; 57218713498; 54403324000; 24722777200; 8914299500","MemoRAG: Boosting Long Context Processing with Global Memory-Enhanced Retrieval Augmentation","2025","WWW 2025 - Proceedings of the ACM Web Conference","","","","2366","2377","11","10.1145/3696410.3714805","https://www.scopus.com/pages/publications/105005152783?origin=resultslist","Peking University, Beijing, China; Beijing Academy of Artificial Intelligence, Beijing, China; Hong Kong Polytechnic University, Hong Kong; Gaoling School of Artificial Intelligence, Renmin University of China, Beijing, China; School of Computer Science and Technology, University of Science and Technology of China, Hefei, China; School of Computer Science, Peking University, Beijing, China","Qian H., Peking University, Beijing, China, Beijing Academy of Artificial Intelligence, Beijing, China; Liu Z., Hong Kong Polytechnic University, Hong Kong; Zhang P., Gaoling School of Artificial Intelligence, Renmin University of China, Beijing, China; Mao K., Gaoling School of Artificial Intelligence, Renmin University of China, Beijing, China; Lian D., School of Computer Science and Technology, University of Science and Technology of China, Hefei, China; Dou Z., Gaoling School of Artificial Intelligence, Renmin University of China, Beijing, China; Huang T., School of Computer Science, Peking University, Beijing, China","Processing long contexts presents a significant challenge for large language models (LLMs). While recent advancements allow LLMs to handle much longer contexts than before (e.g., 32K or 128K tokens), it is computationally expensive and can still be insufficient for many applications. Retrieval-Augmented Generation (RAG) is considered a promising strategy to address this problem. However, conventional RAG methods face inherent limitations because of two underlying requirements: 1) explicitly stated queries, and 2) well-structured knowledge. These conditions, however, do not hold in general long-context processing tasks. In this work, we propose MemoRAG, a novel RAG framework empowered by global memory-augmented retrieval. MemoRAG features a dual-system architecture. First, it employs a light but long-range system to create a global memory of the long context. Once a task is presented, it generates draft answers, providing useful clues for the retrieval tools to locate relevant information within the long context. Second, it leverages an expensive but expressive system, which generates the final answer based on the retrieved information. Building upon this fundamental framework, we realize the memory module in the form of KV compression, and reinforce its memorization and cluing capacity from the Generation quality’s Feedback (a.k.a. RLGF). In our experiments, MemoRAG achieves superior performances across a variety of long-context evaluation tasks, not only complex scenarios where traditional RAG methods struggle, but also simpler ones where RAG is typically applied. Our source code is available at this repository. © 2025 Copyright held by the owner/author(s).","Long Context Processing; Retrieval-Augmented Generation","ACM SIGWEB; Business Event Sydney; NSW Government","34th ACM Web Conference, WWW 2025","28 April 2025 through 2 May 2025","Sydney","208527","","979-840071274-6","","English","WWW - Proc. ACM Web Conf.","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105005152783"
"Wang F.; Li J.; Zhu K.; Jiang C.","Wang, Fuyu (60009139400); Li, Jiangtong (57210361380); Zhu, Kun (59114970600); Jiang, Changjun (7403665248)","60009139400; 57210361380; 59114970600; 7403665248","InspireDebate: Multi-Dimensional Subjective-Objective Evaluation-Guided Reasoning and Optimization for Debating","2025","Proceedings of the Annual Meeting of the Association for Computational Linguistics","1","","","27525","27544","0","10.18653/v1/2025.acl-long.1335","https://www.scopus.com/pages/publications/105021017403?origin=resultslist","Key Laboratory of Embedded System and Service Computing, Ministry of Education, Tongji University, China; School of Computer Science and Technology, Tongji University, China","Wang F., Key Laboratory of Embedded System and Service Computing, Ministry of Education, Tongji University, China, School of Computer Science and Technology, Tongji University, China; Li J., Key Laboratory of Embedded System and Service Computing, Ministry of Education, Tongji University, China, School of Computer Science and Technology, Tongji University, China; Zhu K., Key Laboratory of Embedded System and Service Computing, Ministry of Education, Tongji University, China, School of Computer Science and Technology, Tongji University, China; Jiang C., Key Laboratory of Embedded System and Service Computing, Ministry of Education, Tongji University, China, School of Computer Science and Technology, Tongji University, China","With the rapid advancements in large language models (LLMs), debating tasks, such as argument quality assessment and debate process simulation, have made significant progress. However, existing LLM-based debating systems focus on responding to specific arguments while neglecting objective assessments such as authenticity and logical validity. Furthermore, these systems lack a structured approach to optimize across various dimensions-including evaluation metrics, chain-of-thought (CoT) reasoning, and multi-turn debate refinement-thereby limiting their effectiveness. To address these interconnected challenges, we propose a dual-component framework: (1) InspireScore, a novel evaluation system that establishes a multi-dimensional assessment architecture incorporating four subjective criteria (emotional appeal, argument clarity, argument arrangement, and topic relevance) alongside two objective metrics (fact authenticity and logical validity); and (2) InspireDebate, an optimized debating framework employing a phased optimization approach through CoT reasoning enhancement, multidimensional Direct Preference Optimization (DPO), and real-time knowledge grounding via web-based Retrieval Augmented Generation (Web-RAG). Empirical evaluations demonstrate that InspireScore achieves 44% higher correlation with expert judgments compared to existing methods, while InspireDebate shows significant improvements, outperforming baseline models by 57%. Source code is available at https://github.com/fywang12/InspireDebate. © 2025 Association for Computational Linguistics.","","Alibaba Cloud; Ant Group; Bloomberg Engineering; Citadel Securities","63rd Annual Meeting of the Association for Computational Linguistics, ACL 2025","27 July 2025 through 1 August 2025","Vienna","213612","0736587X","979-889176251-0","","English","Proc. Annu. Meet. Assoc. Comput Linguist.","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105021017403"
"Yarramallu V.S.N.L.; Gangireddy R.J.; Manne L.N.; Veena G.","Yarramallu, V S N Lokesh (59031518200); Gangireddy, Rahul Jogi (59032200500); Manne, Leela Naresh (60422669400); Veena, G. (57198996470)","59031518200; 59032200500; 60422669400; 57198996470","HybridCode: A Dual-Database Framework for Intelligent Codebase Analysis and Article Generation","2025","2025 5th Asian Conference on Innovation in Technology, ASIANCON 2025","","","","","","0","10.1109/ASIANCON66527.2025.11281189","https://www.scopus.com/pages/publications/105031443246?origin=resultslist","Amrita Vishwa Vidhyapeetham, Amrita School of Computing, Department of Computer Science and Engineering, Kerala, India","Yarramallu V.S.N.L., Amrita Vishwa Vidhyapeetham, Amrita School of Computing, Department of Computer Science and Engineering, Kerala, India; Gangireddy R.J., Amrita Vishwa Vidhyapeetham, Amrita School of Computing, Department of Computer Science and Engineering, Kerala, India; Manne L.N., Amrita Vishwa Vidhyapeetham, Amrita School of Computing, Department of Computer Science and Engineering, Kerala, India; Veena G., Amrita Vishwa Vidhyapeetham, Amrita School of Computing, Department of Computer Science and Engineering, Kerala, India","The exponential increase in software development complexity, along with the spread of large-scale software projects, has led to problematic situations not seen before in the history of the IT industry. These problems are related to software developers who are struggling with understanding, maintaining, and extending their existing software systems. The methods used by traditional codebase analysis significantly depend on manual inspection, static analysis instruments, and documentation systems, which are only partially consistent. They usually do not succeed in capturing the complex relationships between code components, architectural patterns, and semantic dependencies. This research work introduces a range of methods for intelligent codebase analysis, which involves a new dual-database architecture integrating vector and graph-based knowledge representation, converting raw code into structured knowledge representations. The project utilizes advanced content processing with Google Gemini LLM through structured prompt engineering, with an architecture that leverages Qdrant vector storage. Additionally, it employs the Neo4j graph database, featuring a four-layer node hierarchy that records both explicit code relationships and semantic associations. Our trials confirm the conceptual and detailed capabilities of the framework in the resolution of complex multi-step queries and relationship discovery. The infrastructure marks a significant milestone in the field of intelligent software analysis and developer productivity-enhancing tools, as it offers both semantic understanding through vector similarity and structural insights through graph traversal in a single conversational interface. The system also includes an intelligent article generation framework that uses neural quality assessment and multi-agent coordination to automatically create based on codebase analysis.  © 2025 IEEE.","codebase analysis; graph databases; knowledge graphs; multi-modal retrieval; retrieval-augmented generation; vector embeddings","","5th Asian Conference on Innovation in Technology, ASIANCON 2025","22 August 2025 through 23 August 2025","Pune","218170","","979-835035699-1","","English","Asian Conf. Innov. Technol., ASIANCON","Conference paper","Final","","Scopus","2-s2.0-105031443246"
"Correia J.; Nicholson M.C.; Coutinho D.; Barbosa C.; Castelluccio M.; Gerosa M.; Garcia A.; Steinmacher I.","Correia, João (57202890543); Nicholson, Morgan C. (59237851900); Coutinho, Daniel (57220410075); Barbosa, Caio (57202890969); Castelluccio, Marco (57194448883); Gerosa, Marco (10043515400); Garcia, Alessandro (7404608626); Steinmacher, Igor (36609225300)","57202890543; 59237851900; 57220410075; 57202890969; 57194448883; 10043515400; 7404608626; 36609225300","Unveiling the Potential of a Conversational Agent in Developer Support: Insights from Mozilla's PDF.js Project","2024","AIware 2024 - Proceedings of the 1st ACM International Conference on AI-Powered Software, Co-located with: ESEC/FSE 2024","","","","10","18","3","10.1145/3664646.3664758","https://www.scopus.com/pages/publications/85199904763?origin=resultslist","Pontifical Catholic University of Rio de Janeiro, RJ, Rio de Janeiro, Brazil; University of São Paulo, SP, São Paulo, Brazil; Mozilla Corporation, London, United Kingdom; Northern Arizona University, Flagstaff, AZ, United States","Correia J., Pontifical Catholic University of Rio de Janeiro, RJ, Rio de Janeiro, Brazil; Nicholson M.C., University of São Paulo, SP, São Paulo, Brazil; Coutinho D., Pontifical Catholic University of Rio de Janeiro, RJ, Rio de Janeiro, Brazil; Barbosa C., Pontifical Catholic University of Rio de Janeiro, RJ, Rio de Janeiro, Brazil; Castelluccio M., Mozilla Corporation, London, United Kingdom; Gerosa M., Northern Arizona University, Flagstaff, AZ, United States; Garcia A., Pontifical Catholic University of Rio de Janeiro, RJ, Rio de Janeiro, Brazil; Steinmacher I., Northern Arizona University, Flagstaff, AZ, United States","Large language models and other foundation models (FMs) boost productivity by automating code generation, supporting bug fixes, and generating documentation. We propose that FMs can further support Open Source Software (OSS) projects by assisting developers and guiding the community. Currently, core developers and maintainers answer queries about processes, architecture, and source code, but their time is limited, often leading to delays. To address this, we introduce DevMentorAI, a tool that enhances developer-project interactions by leveraging source code and technical documentation. DevMentorAI uses the Retrieval Augmented Generation (RAG) architecture to identify and retrieve relevant content for queries. We evaluated DevMentorAI with a case study on PDF.js project, using real questions from a development chat room and comparing the answers provided by DevMentorAI to those from humans. A Mozilla expert rated the answers, finding DevMentorAI's responses more satisfactory in 8/14 of cases, equally satisfactory in 3/14, and less satisfactory in 3/14. These results demonstrate the potential of using foundation models and the RAG approach to support developers and reduce the burden on core developers. © 2024 Copyright is held by the owner/author(s). Publication rights licensed to ACM.","Conversational Agents; Developer Assistance; Large Language Models; Software Development; Software Engineering","ACM SIGSOFT","1st ACM International Conference on AI-Powered Software, AIware 2024, co-located with the ACM International Conference on the Foundations of Software Engineering, FSE 2024","15 July 2024 through 16 July 2024","Porto de Galinhas","201062","","979-840070685-1","","English","AIware - Proc. ACM Int. Conf. AI-Powered Softw., Co-located: ESEC/FSE","Conference paper","Final","","Scopus","2-s2.0-85199904763"
"Antal G.; Ertekes L.; Szolnoki N.; Hegedus P.","Antal, Gabor (6701427737); Ertekes, Lorant (60546517300); Szolnoki, Norbert (60546517400); Hegedus, Peter (25926433300)","6701427737; 60546517300; 60546517400; 25926433300","Evaluating Retrieval-Augmented Generation for LLM-Based Vulnerability Detection: An Empirical Study on Real-World Java Vulnerabilities","2026","IEEE Access","14","","","50878","50891","0","10.1109/ACCESS.2026.3676577","https://www.scopus.com/pages/publications/105034452191?origin=resultslist","University of Szeged, Department of Software Engineering, Szeged, 6720, Hungary; FrontEndART Software Ltd., Szeged, 6721, Hungary","Antal G., University of Szeged, Department of Software Engineering, Szeged, 6720, Hungary, FrontEndART Software Ltd., Szeged, 6721, Hungary; Ertekes L., University of Szeged, Department of Software Engineering, Szeged, 6720, Hungary; Szolnoki N., University of Szeged, Department of Software Engineering, Szeged, 6720, Hungary; Hegedus P., University of Szeged, Department of Software Engineering, Szeged, 6720, Hungary","Software vulnerabilities are growing as fast as the digital platforms and applications that contain them. Thus, the timely and effective detection of software vulnerabilities is becoming increasingly important. Another emerging trend is the widespread use of large language models (LLMs) for software engineering tasks such as source and test code generation, refactoring, and debugging. Finding security-related issues is crucial, but it is a very resource-intensive task. This work offers an empirical benchmark of the impact of retrieval-augmented prompts on LLM-based vulnerability detection, rather than proposing a new detection method. In this work, we explore the source code vulnerability detection capabilities of large language models (LLMs) in a realistic, language-specific setting. We investigate to what extent retrieval-augmented generation (RAG) improves their performance when applied to real-world Java vulnerabilities. We evaluated seven widely used LLMs (GPT-5, GPT-4o, Claude Sonnet 4, Gemini 2.5, LLaMa 4, DeepSeek 3.1, and Grok Code Fast) on Java source code. We used the Vul4J dataset, a manually curated benchmark of real-world vulnerabilities, comparing a basic zero-shot approach against a RAG-enhanced approach that provides up to three vulnerable and three secure code examples based on their semantic similarity to the code under analysis. To mitigate the non-deterministic nature of LLMs, each experiment was repeated three times and the results were averaged. We empirically found that RAG helps LLMs reduce false positives without significantly affecting recall, leading to improved MCC scores under specific conditions. However, retrieval was often sparse, and false positives remained common, limiting practical impact. Our study serves as an empirical evaluation rather than a deployment-ready methodology.  © 2026 The Authors.","large language models; LLM comparison; retrieval-augmented generation; Vulnerability detection","","","","","","21693536","","","English","IEEE Access","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105034452191"
"Liang S.; Jiang N.; Hu Y.; Tan L.","Liang, Shanchao (59350535500); Jiang, Nan (57222012953); Hu, Yiran (59374031800); Tan, Lin (7402233346)","59350535500; 57222012953; 59374031800; 7402233346","Can Language Models Replace Programmers for Coding? REPOCOD Says 'Not Yet'","2025","Proceedings of the Annual Meeting of the Association for Computational Linguistics","1","","","24698","24717","0","10.18653/v1/2025.acl-long.1204","https://www.scopus.com/pages/publications/105021020059?origin=resultslist","Purdue University, United States","Liang S., Purdue University, United States; Jiang N., Purdue University, United States; Hu Y., Purdue University, United States; Tan L., Purdue University, United States","Recently, a number of repository-level code generation benchmarks-such as CoderEval, DevEval, RepoEval, RepoBench, and Long-Code-Arena-have emerged to evaluate the capabilities of large language models (LLMs) beyond standalone benchmarks like HumanEval and MBPP. Thus, a natural question is, would LLMs have similar performance in real world coding tasks as their performance in these benchmarks? Unfortunately, one cannot answer this question, since these benchmarks consist of short completions, synthetic examples, or focus on limited scale repositories, failing to represent real-world coding tasks. To address these challenges, we create REPOCOD, a Python code-generation benchmark containing complex tasks with realistic dependencies in real-world large projects and appropriate metrics for evaluating source code. It includes 980 whole-function generation tasks from 11 popular projects, 50.8 % of which require repository-level context. REPOCOD includes 314 developer-written test cases per instance for better evaluation. We evaluate ten LLMs on REPOCOD and find that none achieves more than 30% pass@1 on REPOCOD, indicating the necessity of building stronger LLMs that can help developers in real-world software development. In addition, we found that retrieval-augmented generation achieves better results than using target function dependencies as context. © 2025 Association for Computational Linguistics.","","Alibaba Cloud; Ant Group; Bloomberg Engineering; Citadel Securities","63rd Annual Meeting of the Association for Computational Linguistics, ACL 2025","27 July 2025 through 1 August 2025","Vienna","213612","0736587X","979-889176251-0","","English","Proc. Annu. Meet. Assoc. Comput Linguist.","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105021020059"
"Olewicki D.; Da Silva L.; Sghaier O.B.; Mujahid S.; Amini A.; Mah B.; Castelluccio M.; Habchi S.; Khomh F.; Adams B.","Olewicki, Doriane (57216995320); Da Silva, Leuson (58557106000); Sghaier, Oussama Ben (57213519553); Mujahid, Suhaib (57195319577); Amini, Arezou (59467326500); Mah, Benjamin (57191372989); Castelluccio, Marco (57194448883); Habchi, Sarra (57195317140); Khomh, Foutse (24724747600); Adams, Bram (15134994200)","57216995320; 58557106000; 57213519553; 57195319577; 59467326500; 57191372989; 57194448883; 57195317140; 24724747600; 15134994200","Impact of an LLM-based Review Assistant in Practice: A Mixed Open-/Closed-source Case Study","2026","IEEE Transactions on Software Engineering","","","","","","0","10.1109/TSE.2026.3663093","https://www.scopus.com/pages/publications/105029983349?origin=resultslist","","","Code review is a standard practice in modern software development, aiming to improve code quality.As providing constructive reviews on a submitted patch is a challenging and error-prone task, the advances of Large Language Models (LLMs) in performing natural language processing (NLP) tasks in a human-like fashion have prompted researchers to evaluate the LLMs’ ability to automate the code review process. However, outside lab settings, it is still unclear how prone reviewers are to accept comments generated by LLMs in a real development workflow. To fill this gap, we conduct a large-scale empirical case study in a live setup to evaluate the acceptance of LLM-generated comments and their impact on the review process. This case study was performed in two organizations, Mozilla (which has its codebase available as open-source) and Ubisoft (fully closed-source). Inside their usual review environment, participants were given access to RevMate, an LLM-based assistive tool that suggests generated review comments using an off-the-shelf LLM with Retrieval-Augmented Generation to provide extra code and review context, combined with LLM-as-a-Judge, to auto-evaluate the generated comments and discard irrelevant cases. Based on more than 587 patch reviews, we observed that 8.1%, of LLM-generated comments were accepted by reviewers in each organization respectively, while 14.6% and 20.5% other comments were still marked as valuable as review or development tips. Refactoring-related comments are more likely to be accepted than Functional comments (18.2% and 18.6% compared to 4.8% and 5.2%). The extra time spent by reviewers to inspect generated comments or edit accepted ones (36/119), yielding an overall median of 43s per patch, is reasonable. The accepted generated comments are as likely to yield future revisions of the revised patch as human-written comments (74% vs 73% at chunk-level). © 2026 IEEE. All rights reserved,","Case study; Large Language Models; Review automation; Review comment generation","","","","","","00985589","","IESED","English","IEEE Trans Software Eng","Article","Article in press","","Scopus","2-s2.0-105029983349"
"Mamaghani A.; Zheng Q.; Ghosh U.; Rajagopalan V.; Shakkottai S.; Bharadia D.","Mamaghani, Ali (60230088100); Zheng, Qingyuan (60250306800); Ghosh, Ushasi (58296731400); Rajagopalan, Vicram (59224634700); Shakkottai, Srinivas (57203071736); Bharadia, Dinesh (50660948900)","60230088100; 60250306800; 58296731400; 59224634700; 57203071736; 50660948900","Log Pruning for Efficient Q&A in 5G Networks","2025","Open and AI RAN 2025 - Proceedings of the 2025 2nd ACM Workshop on Open and AI RAN, Part of Mobicom 2025","","","","36","42","0","10.1145/3737900.3770171","https://www.scopus.com/pages/publications/105025552210?origin=resultslist","University of California, San Diego, CA, United States; Texas A&M University, TX, United States","Mamaghani A., University of California, San Diego, CA, United States; Zheng Q., University of California, San Diego, CA, United States; Ghosh U., University of California, San Diego, CA, United States; Rajagopalan V., Texas A&M University, TX, United States; Shakkottai S., Texas A&M University, TX, United States; Bharadia D., University of California, San Diego, CA, United States","Large Language Models (LLMs) excel across many tasks but struggle in specialized domains like system logs, often leading to inaccuracies. Retrieval-Augmented Generation (RAG) mitigates this by grounding responses in external knowledge, yet conventional RAG faces scalability issues with massive structured datasets due to the high computational cost of embeddings and vector operations. We introduce a novel RAG architecture tailored for large-scale structured data. By combining intelligent context pruning with signal processing techniques that exploit inherent log structures, our design enables rapid, efficient retrieval with reduced computational overhead while maintaining accuracy. We validate this approach on a real-world, high-throughput 5G codebase generating millions of log entries per minute, alongside a comprehensive Q&A dataset on these logs. Results show substantial gains in both speed and accuracy over traditional RAG, making this solution well-suited for real-time analytics in large-scale operational environments.  © 2025 Copyright held by the owner/author(s).","5G; LLM; Log Processing; Pruning; RAG","ACM SIGMOBILE","2025 2nd ACM Workshop on Open and AI RAN, Open and AI RAN 2025","4 November 2025 through 8 November 2025","Hong Kong","215195","","979-840071977-6","","English","Open AI RAN - Proc. ACM Workshop Open AI RAN, Part Mobicom","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105025552210"
"Zhang W.; Hassan M.; Drechsler R.","Zhang, Weiyan (57701160000); Hassan, Muhammad (56018112700); Drechsler, Rolf (55172914000)","57701160000; 56018112700; 55172914000","LLM-assisted Performance Estimation of Embedded Software on RISC-V Processors","2025","Proceedings - 2025 28th International Symposium on Design and Diagnostics of Electronic Circuits and Systems, DDECS 2025","","","","7","12","0","10.1109/DDECS63720.2025.11006767","https://www.scopus.com/pages/publications/105007512898?origin=resultslist","University of Bremen, Institute of Computer Science, Bremen, 28359, Germany; Dfki GmbH, Cyber-Physical Systems, Bremen, 28359, Germany","Zhang W., University of Bremen, Institute of Computer Science, Bremen, 28359, Germany; Hassan M., University of Bremen, Institute of Computer Science, Bremen, 28359, Germany, Dfki GmbH, Cyber-Physical Systems, Bremen, 28359, Germany; Drechsler R., University of Bremen, Institute of Computer Science, Bremen, 28359, Germany, Dfki GmbH, Cyber-Physical Systems, Bremen, 28359, Germany","In this paper, we present a methodology that combines a Large Language Model (LLM) with a traditional Machine Learning (ML) approach to estimate the performance of embedded software on RISC-V processors across different microarchitectures. In particular, we employ a Retrieval-Augmented Generation (RAG)-based LLM to extract performance-related information from processor specifications and source code. Additionally, we leverage the predictive capabilities of ML models to create Predictive Models (PMs) for RISC-V processors. To demonstrate the effectiveness of our hybrid approach, we present results on the performance estimation of open-source benchmarks using the generated PMs, with open-source RISC-V-based Register Transfer Level (RTL) implementations as reference models. Our results demonstrate that our proposed LLM-assisted methodology provides highly accurate predictions, with Mean Absolute Percentage Errors (MAPEs) of only 2.50% for SweRV core and 11.90% for RSD core, respectively. In comparison with the state-of-the-art methodology, our approach achieves significant improvements, reducing the MAPE by 61.54% for SweRV and 36.02% for RSD. © 2025 IEEE.","embedded system; large language model; machine learning; performance estimation; RISC-V","IEEE Council on Electronic Design Automation (CEDA); Lyon Institute of Nanotechnology","28th International Symposium on Design and Diagnostics of Electronic Circuits and Systems, DDECS 2025","5 May 2025 through 7 May 2025","Lyon","209040","","979-833152801-0","","English","Proc. - Int. Symp. Des. Diagn. Electron. Circuits Syst., DDECS","Conference paper","Final","","Scopus","2-s2.0-105007512898"
